idx,loc,MAC,lat,lon,height
0, warren_st, 0x6852, 40.742698000000004, -74.181186, 31.1879999995932318
1, warren_st, 0x6849, 40.74262563923355, -74.18125954950723, 31.108036371655414
2, warren_st, 0x6833, 40.74253713703159, -74.1812794816912, 30.950574021714593
3, warren_st, 0x6822, 40.74245409930623, -74.18135290347529, 31.3318508375942537
4, warren_st, 0x6818, 40.74235474084199, -74.18137756983897, 31.3631346779020106
