idx,loc,MAC,lat,lon,height
0,penn,0x680A,40.73516281847992, -74.16378141248713, 3.057076320127741
1,penn,0x6843,40.73522529172591, -74.16386378387053, 3.127035834633064
2,penn,0x685A,40.73524806308544, -74.16389585349236, 3.1155245227337285
3,penn,0x6859,40.735299019159456, -74.16397327915648, 3.1340066065775773
4,penn,0x6870,40.735344175774046, -74.16406198694176, 3.222282883078969
5,penn,0x6872,40.735367000000004, -74.16403500000001, 3.374778854885645
6,penn,0x6839,40.73524220476046, -74.16384052665434, 3.119536216281167
7,penn,0x683D,40.73518546350575, -74.16375358239969, 3.0990761721290525
